"ISO3","Country/Region","UNICEF Region"
"AFG","Afghanistan","South Asia"
"AGO","Angola","Eastern and Southern Africa"
"ARM","Armenia","Eastern Europe and Central Asia"
"AZE","Azerbaijan","Eastern Europe and Central Asia"
"BDI","Burundi","Eastern and Southern Africa"
"BEN","Benin","West and Central Africa"
"BFA","Burkina Faso","West and Central Africa"
"BGD","Bangladesh","South Asia"
"BHS","Bahamas","Latin America and Caribbean"
"BLR","Belarus","Eastern Europe and Central Asia"
"BLZ","Belize","Latin America and Caribbean"
"BOL","Bolivia (Plurinational State of)","Latin America and Caribbean"
"BRA","Brazil","Latin America and Caribbean"
"BWA","Botswana","Eastern and Southern Africa"
"CAF","Central African Republic","West and Central Africa"
"CHL","Chile","Latin America and Caribbean"
"CIV","Côte d'Ivoire","West and Central Africa"
"CMR","Cameroon","West and Central Africa"
"COD","Democratic Republic of the Congo","West and Central Africa"
"COG","Congo","West and Central Africa"
"COL","Colombia","Latin America and Caribbean"
"CPV","Cabo Verde","West and Central Africa"
"CRI","Costa Rica","Latin America and Caribbean"
"CUB","Cuba","Latin America and Caribbean"
"DJI","Djibouti","Eastern and Southern Africa"
"DOM","Dominican Republic","Latin America and Caribbean"
"DZA","Algeria","Middle East and North Africa"
"ECU","Ecuador","Latin America and Caribbean"
"EGY","Egypt","Middle East and North Africa"
"ERI","Eritrea","Eastern and Southern Africa"
"ETH","Ethiopia","Eastern and Southern Africa"
"FJI","Fiji","East Asia and Pacific"
"GAB","Gabon","West and Central Africa"
"GEO","Georgia","Eastern Europe and Central Asia"
"GHA","Ghana","West and Central Africa"
"GIN","Guinea","West and Central Africa"
"GMB","Gambia","West and Central Africa"
"GNB","Guinea-Bissau","West and Central Africa"
"GNQ","Equatorial Guinea","West and Central Africa"
"GUY","Guyana","Latin America and Caribbean"
"HND","Honduras","Latin America and Caribbean"
"HTI","Haiti","Latin America and Caribbean"
"IDN","Indonesia","East Asia and Pacific"
"IND","India","South Asia"
"IRN","Iran (Islamic Republic of)","Middle East and North Africa"
"JAM","Jamaica","Latin America and Caribbean"
"KAZ","Kazakhstan","Eastern Europe and Central Asia"
"KEN","Kenya","Eastern and Southern Africa"
"KGZ","Kyrgyzstan","Eastern Europe and Central Asia"
"KHM","Cambodia","East Asia and Pacific"
"LAO","Lao People's Democratic Republic","East Asia and Pacific"
"LBR","Liberia","West and Central Africa"
"LBY","Libya","Middle East and North Africa"
"LKA","Sri Lanka","South Asia"
"LSO","Lesotho","Eastern and Southern Africa"
"LTU","Lithuania","Western Europe"
"LVA","Latvia","Western Europe"
"MAR","Morocco","Middle East and North Africa"
"MDA","Republic of Moldova","Eastern Europe and Central Asia"
"MDG","Madagascar","Eastern and Southern Africa"
"MLI","Mali","West and Central Africa"
"MMR","Myanmar","East Asia and Pacific"
"MOZ","Mozambique","Eastern and Southern Africa"
"MRT","Mauritania","West and Central Africa"
"MUS","Mauritius","Eastern and Southern Africa"
"MWI","Malawi","Eastern and Southern Africa"
"MYS","Malaysia","East Asia and Pacific"
"NAM","Namibia","Eastern and Southern Africa"
"NER","Niger","West and Central Africa"
"NGA","Nigeria","West and Central Africa"
"NIC","Nicaragua","Latin America and Caribbean"
"NPL","Nepal","South Asia"
"OMN","Oman","Middle East and North Africa"
"PAK","Pakistan","South Asia"
"PAN","Panama","Latin America and Caribbean"
"PER","Peru","Latin America and Caribbean"
"PHL","Philippines","East Asia and Pacific"
"PRY","Paraguay","Latin America and Caribbean"
"ROU","Romania","Eastern Europe and Central Asia"
"RWA","Rwanda","Eastern and Southern Africa"
"SEN","Senegal","West and Central Africa"
"SLE","Sierra Leone","West and Central Africa"
"SLV","El Salvador","Latin America and Caribbean"
"SOM","Somalia","Eastern and Southern Africa"
"SRB","Serbia","Eastern Europe and Central Asia"
"SSD","South Sudan","Eastern and Southern Africa"
"SUR","Suriname","Latin America and Caribbean"
"SWZ","Eswatini","Eastern and Southern Africa"
"TCD","Chad","West and Central Africa"
"TGO","Togo","West and Central Africa"
"THA","Thailand","East Asia and Pacific"
"TJK","Tajikistan","Eastern Europe and Central Asia"
"TUN","Tunisia","Middle East and North Africa"
"TZA","United Republic of Tanzania","Eastern and Southern Africa"
"UGA","Uganda","Eastern and Southern Africa"
"UKR","Ukraine","Eastern Europe and Central Asia"
"URY","Uruguay","Latin America and Caribbean"
"UZB","Uzbekistan","Eastern Europe and Central Asia"
"VEN","Venezuela (Bolivarian Republic of)","Latin America and Caribbean"
"VNM","Viet Nam","East Asia and Pacific"
"YEM","Yemen","Middle East and North Africa"
"ZAF","South Africa","Eastern and Southern Africa"
"ZMB","Zambia","Eastern and Southern Africa"
"ZWE","Zimbabwe","Eastern and Southern Africa"
